author                               ,area_of_interest        ,categories                                                                                     ,tags                                                                                                                                                                               ,title                                                                                                                     ,sub_title                                                                                                                 ,abstract                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,date_published      ,link
4 Apr 2016                           ,                        ,                                                                                               ,"emissions-from-international-aviation,carbon-markets,human-rights-in-climate-action"                                                                                              ,Watch This! NGO Newsletter #14: Carbon Market Watch’s priorities for 2016                                                 ,Watch This! NGO Newsletter #14: Carbon Market Watch’s priorities for 2016                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/04/04/watch-this-ngo-newsletter-14-carbon-market-watchs-priorities-for-2016/
4 Apr 2016                           ,carbon-pricing          ,"global-markets,aviation"                                                                      ,"emissions-from-international-aviation,international-civil-aviation-organisation"                                                                                                  ,"Watch This! NGO Newsletter #14: 2016, a key year to pressure aviation to do their fair share!"                           ,"Watch This! NGO Newsletter #14: 2016, a key year to pressure aviation to do their fair share!"                           ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,                    ,https://carbonmarketwatch.org/2016/04/04/watch-this-ngo-newsletter-14-2016-a-key-year-to-pressure-aviation-to-do-their-fair-share/
author,area_of_interest,categories,tags,title,date_published,link
Agnese Ruggiero,carbon-pricing,decarbonising-european-industry,"eu-emissions-trading-system,industrial-decarbonisation,industrial-emissions-directive",How the EU carbon market’s lesser-known cousin could help drive industrial transformation,2020-04-29 00:00:00,https://carbonmarketwatch.org/2020/04/29/how-the-eu-carbon-markets-lesser-known-cousin-could-help-drive-industrial-transformation/
Kaisa Amaral,,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market,aviation","eu-emissions-trading-system,eu-climate-law,eu-green-deal",Carbon Market Watch Newsletter – March 2020,2020-03-26 00:00:00,https://carbonmarketwatch.org/2020/03/26/carbon-market-watch-newsletter-march-2020/
Sam Van den plas,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,eu-climate-law,eu-green-deal",When COVID-19 met the EU ETS,2020-03-26 00:00:00,https://carbonmarketwatch.org/2020/03/26/when-covid-19-met-the-eu-ets/
Ed King (Guest),,sustainable-development,,COP26 in the year of health emergency,2020-03-31 00:00:00,https://carbonmarketwatch.org/2020/03/31/cop26-in-the-year-of-health-emergency/
Andrew Coiley,,2050-climate-strategies,,WT! -Climate action takes backseat as world fights virus,2020-03-31 00:00:00,https://carbonmarketwatch.org/2020/03/31/climate-action-takes-backseat-as-world-fights-virus/
Gilles Dufrasne,carbon-pricing,"global-markets,aviation","article-6,international-civil-aviation-organisation-icao,global-carbon-markets",ICAO’s carbon market report offers valuable lessons for Article 6 talks,2020-04-01 00:00:00,https://carbonmarketwatch.org/2020/04/01/icaos-carbon-market-report-offers-valuable-lessons-for-article-6-talks/
Kaisa Amaral,international-transport,aviation,"eu-emissions-trading-system,aviation,covid-19",Polluting European airlines seek €12.8 bn (and counting) in bailouts,2020-04-22 00:00:00,https://carbonmarketwatch.org/2020/04/22/polluting-european-airlines-seek-e12-8-bn-and-counting-in-bailouts/
Kaisa Amaral,climate-governance,"the-eu-green-deal-and-climate-law,eu-carbon-market,aviation,shipping","european-parliament,eu-climate-law,climate-neutrality",Lead EU lawmaker’s strong call for climate action,2020-05-14 00:00:00,https://carbonmarketwatch.org/2020/05/14/lead-eu-lawmakers-strong-call-for-climate-action/
Wijnand Stoefs,carbon-pricing,climate-finance,"european-green-deal,just-transition",EU starts taking just transition seriously,2020-01-23 00:00:00,https://carbonmarketwatch.org/2020/01/23/the-eu-starts-taking-just-transition-seriously/
Gilles Dufrasne,international-transport,aviation,"corsia,international-civil-aviation-organisation-icao","CORSIA: demand, supply and scaremongering",2020-02-26 00:00:00,https://carbonmarketwatch.org/2020/02/26/corsia-demand-supply-and-scaremongering/
Wijnand Stoefs,carbon-pricing,decarbonising-european-industry,"eu-emissions-trading-system,eu-industry,industrial-decarbonisation",EU carbon market state aid rules moving in the right direction – but not far enough,2020-02-17 00:00:00,https://carbonmarketwatch.org/2020/02/17/eu-carbon-market-state-aid-rules-moving-in-the-right-direction-but-not-far-enough/
Kaisa Amaral,,2050-climate-strategies,,Carbon Market Watch agenda – spring 2020,2020-02-28 00:00:00,https://carbonmarketwatch.org/2020/02/28/carbon-market-watch-agenda-spring-2020/
Kaisa Amaral,climate-governance,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market","eu-emissions-trading-system,eu-industrial-strategy",Why the Green Deal needs a strong industrial climate plan,2020-03-06 00:00:00,https://carbonmarketwatch.org/2020/03/06/why-the-green-deal-needs-a-strong-industrial-climate-plan/
Kaisa Amaral,climate-governance,national-energy-and-climate-plans-necps,national-energy-and-climate-plans,Climate Law improves oversight over EU Member States’ climate policy planning,2020-03-04 00:00:00,https://carbonmarketwatch.org/2020/03/04/32249/
Kaisa Amaral,international-transport,aviation,"aviation,covid-19",Airline bailouts set to double to €26bn as countries fail to impose binding green conditions,2020-04-30 00:00:00,https://carbonmarketwatch.org/2020/04/30/airline-bailouts-set-to-double-to-e26bn-as-countries-fail-to-impose-binding-green-conditions/
Kaisa Amaral,climate-governance,eu-carbon-market,"european-green-deal,eu-climate-law",What does the EU Climate Law have to do with cement?,2020-03-09 00:00:00,https://carbonmarketwatch.org/2020/03/09/what-does-the-eu-climate-law-have-to-do-with-cement/
Kaisa Amaral,climate-governance,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market","eu-emissions-trading-system,eu-industrial-strategy,eu-climate-law",EU industry strategy fails Green Deal test,2020-03-10 00:00:00,https://carbonmarketwatch.org/2020/03/10/eu-industry-strategy-fails-green-deal-test/
Kaisa Amaral,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,european-green-deal",EU carbon market needs an overhaul to deliver Green Deal,2019-12-11 00:00:00,https://carbonmarketwatch.org/2019/12/11/eu-carbon-market-needs-an-overhaul-to-deliver-green-deal/
Andrew Coiley,,sustainable-development,"climate-change,covid-19",Climate action: learning from the corona response,2020-03-31 00:00:00,https://carbonmarketwatch.org/2020/03/31/climate-action-learning-from-the-corona-response/
Kaisa Amaral,international-transport,"global-markets,climate-finance,aviation",,ICAO decision on aviation carbon market rules a step in the right direction but fails to exclude all junk credits,2020-03-16 00:00:00,https://carbonmarketwatch.org/2020/03/16/icao-decision-on-aviation-carbon-market-rules-a-step-in-the-right-direction-but-fails-to-exclude-all-junk-credits/
Falguni Joshi (Guest Interview),carbon-pricing,"human-rights,sustainable-development,global-markets",,Indian perspective of COP25,2019-12-12 00:00:00,https://carbonmarketwatch.org/2019/12/12/indian-perspective-of-cop25/
Kaisa Amaral,carbon-pricing,global-markets,,Do you want to solve the climate crisis – or do you want to cheat?,2019-12-13 00:00:00,https://carbonmarketwatch.org/2019/12/13/do-you-want-to-solve-the-climate-crisis-or-do-you-want-to-cheat/
Wijnand Stoefs,international-transport,shipping,"eu-emissions-trading-system,european-parliament,emissions-from-shipping,international-maritime-organisation-imo",High time the maritime sector sailed into the EU carbon market,2020-02-27 00:00:00,https://carbonmarketwatch.org/2020/02/27/high-time-the-maritime-sector-sailed-into-the-eu-carbon-market/
Kaisa Amaral,carbon-pricing,global-markets,,OMGE (?!) – or how carbon markets must reduce emissions instead of shifting pollution around,2019-12-16 00:00:00,https://carbonmarketwatch.org/2019/12/16/omge-or-how-carbon-markets-must-reduce-emissions-instead-of-shifting-pollution-around/
Jeppe Bijker (Guest Article),international-transport,"aviation,shipping",,Activism on the high seas,2019-12-12 00:00:00,https://carbonmarketwatch.org/2019/12/12/activism-on-the-high-seas/
Andrew Coiley,,"human-rights,decarbonising-european-industry,sustainable-development,global-markets,aviation",,TIME FOR ACTION!!,2019-12-12 00:00:00,https://carbonmarketwatch.org/2019/12/12/time-for-action/
Kaisa Amaral,carbon-pricing,global-markets,"international-climate-negotiations-unfccc,article-6,global-carbon-markets",COP25: No deal on UN carbon markets as a number of countries reject loopholes,2019-12-15 00:00:00,https://carbonmarketwatch.org/2019/12/15/cop25-no-deal-on-un-carbon-markets-as-a-number-of-countries-reject-loopholes/
Gilles Dufrasne,international-transport,2050-climate-strategies,"international-climate-negotiations-unfccc,article-6,international-aviation,international-civil-aviation-organisation-icao",COP25 outcome puts pressure on ICAO to ensure robust rules for aviation carbon market,2020-01-17 00:00:00,https://carbonmarketwatch.org/2020/01/17/cop-25-outcome-puts-pressure-on-icao-to-ensure-robust-rules-for-aviation-carbon-market/
8 Jan 2020,,2050-climate-strategies,,Carbon Market Watch is seeking a Finance Officer (Maternity cover),,https://carbonmarketwatch.org/2020/01/08/carbon-market-watch-is-seeking-a-finance-officer-maternity-cover/
Gilles Dufrasne,carbon-pricing,"human-rights,global-markets","international-climate-negotiations-unfccc,article-6",International carbon markets at the frontier to the wild west,2020-01-20 00:00:00,https://carbonmarketwatch.org/2020/01/20/international-carbon-markets-at-the-frontier-to-the-wild-west/
Sam Van den plas,international-transport,shipping,"eu-emissions-trading-system,shipping",Time to steer shipping into the EU carbon market,2019-11-22 00:00:00,https://carbonmarketwatch.org/2019/11/22/time-to-steer-shipping-into-the-eu-carbon-market/
Kaisa Amaral,carbon-pricing,global-markets,"international-climate-negotiations-unfccc,article-6,global-carbon-markets","Markets must increase climate action, not undermine it",2019-11-27 00:00:00,https://carbonmarketwatch.org/2019/11/27/markets-must-increase-climate-action-not-undermine-it/
Sabine Frank,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,coal-phase-out",Is the German carbon pricing plan fit for purpose?,2019-11-28 00:00:00,https://carbonmarketwatch.org/2019/11/28/is-the-german-carbon-pricing-plan-fit-for-purpose/
Kaisa Amaral,international-transport,"global-markets,aviation","international-climate-negotiations-unfccc,emissions-from-international-aviation,eu-emissions-trading-system,international-civil-aviation-organisation-icao,global-carbon-markets",What does flight shame have to do with global carbon markets?,2019-11-28 00:00:00,https://carbonmarketwatch.org/2019/11/28/what-does-flight-shame-have-to-do-with-global-carbon-markets/
Kaisa Amaral,carbon-pricing,global-markets,"international-climate-negotiations-unfccc,human-rights-in-climate-action,article-6",Can global carbon markets help us reach the Paris climate goals?,2019-11-27 00:00:00,https://carbonmarketwatch.org/2019/11/27/can-global-carbon-markets-help-us-reach-the-paris-climate-goals/
Kaisa Amaral,,"global-markets,aviation,shipping","international-climate-negotiations-unfccc,article-6",Carbon Market Watch Newsletter – November 2019,2019-11-30 00:00:00,https://carbonmarketwatch.org/2019/11/30/carbon-market-watch-newsletter-november-2019/
Kaisa Amaral,carbon-pricing,2050-climate-strategies,,Carbon markets must benefit people and the planet – anything less is unacceptable,2019-12-09 00:00:00,https://carbonmarketwatch.org/2019/12/09/carbon-markets-must-benefit-people-and-the-planet-anything-less-is-unacceptable/
Kaisa Amaral,carbon-pricing,"human-rights,global-markets",,"4 reasons why only new, good (!) projects should be funded under Article 6",2019-12-05 00:00:00,https://carbonmarketwatch.org/2019/12/05/4-reasons-why-only-new-good-projects-should-be-funded-under-article-6/
Kaisa Amaral,carbon-pricing,global-markets,"international-climate-negotiations-unfccc,article-6,global-carbon-markets",Dodgy carbon market rules risk undermining the Paris Agreement,2019-12-11 00:00:00,https://carbonmarketwatch.org/2019/12/11/31910/
Gilles Dufrasne,international-transport,aviation,"eu-emissions-trading-system,icao,international-aviation",Aviation needs a credible long-term climate strategy,2019-09-24 00:00:00,https://carbonmarketwatch.org/2019/09/24/aviation-needs-a-credible-long-term-climate-strategy/
Gilles Dufrasne,carbon-pricing,"2050-climate-strategies,global-markets","international-climate-negotiations-unfccc,article-6",Global carbon market negotiations are running out of (over)time,2019-10-09 00:00:00,https://carbonmarketwatch.org/2019/10/09/global-carbon-market-negotiations-are-running-out-of-overtime/
Maryna Larina | Kaisa Amaral,carbon-pricing,decarbonising-european-industry,"eu-emissions-trading-system,carbon-pricing,industrial-decarbonisation",Pricing pollution can drive green growth,2019-09-26 00:00:00,https://carbonmarketwatch.org/2019/09/26/pricing-pollution-can-drive-green-growth/
19 Sep 2019,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,coal-phase-out,market-stability-reserve",Over 2 billion surplus pollution permits could flood Europe’s carbon market by 2030 – analysis,,https://carbonmarketwatch.org/2019/09/19/over-2-billion-surplus-pollution-permits-could-flood-europes-carbon-market-by-2030-analysis/
Sam Van den plas,carbon-pricing,"decarbonising-european-industry,2050-climate-strategies","eu-emissions-trading-system,eu-industry,industrial-decarbonisation,free-allocation",Taxing carbon at the EU border? Only if free pollution permits go,2019-10-18 00:00:00,https://carbonmarketwatch.org/2019/10/18/taxing-carbon-at-the-eu-border-only-if-free-pollution-permits-go/
Kaisa Amaral,,"eu-carbon-market,aviation","eu-emissions-trading-system,corsia,coal-phase-out,international-civil-aviation-organisation-icao",Carbon Market Watch Newsletter – September 2019,2019-09-30 00:00:00,https://carbonmarketwatch.org/2019/09/30/32212/
Agnese Ruggiero,climate-governance,national-energy-and-climate-plans-necps,national-energy-and-climate-plans,"Climate strikes: people do not want to be left behind, and governments should listen to them",2019-09-25 00:00:00,https://carbonmarketwatch.org/2019/09/25/climate-strikes-people-do-not-want-to-be-left-behind-and-governments-should-listen-to-them/
Sabine Frank,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,coal-phase-out",Wird der deutsche CO2-Preisplan der Herausforderung des Klimawandels gerecht?,2019-11-28 00:00:00,https://carbonmarketwatch.org/2019/11/28/wird-der-deutsche-co2-preisplan-der-herausforderung-des-klimawandels-gerecht/
Andrew Coiley,,"human-rights,sustainable-development,global-markets,aviation","international-climate-negotiations-unfccc,aviation,article-6,public-participation",Watch This! Sail2COP – On the waves of Greta (October 2019),2019-10-21 00:00:00,https://carbonmarketwatch.org/2019/10/21/watch-this-october-2019-edition/
25 Oct 2019,carbon-pricing,"eu-carbon-market,aviation","eu-emissions-trading-system,carbon-taxes",Carbon taxes globally too low to address the climate crisis – OECD,,https://carbonmarketwatch.org/2019/10/25/carbon-taxes-globally-too-low-to-address-the-climate-crisis-oecd/
31 Oct 2019,,"eu-carbon-market,global-markets","international-climate-negotiations-unfccc,industrial-decarbonisation,european-green-deal,carbon-border-adjustment-measures",Carbon Market Watch Newsletter – October 2019,,https://carbonmarketwatch.org/2019/10/31/carbon-market-watch-newsletter-october-2019/
Gilles Dufrasne,carbon-pricing,global-markets,"paris-agreement,carbon-pricing",It’s time governments moved together towards strong global pollution pricing,2019-05-28 00:00:00,https://carbonmarketwatch.org/2019/05/28/its-time-governments-moved-together-towards-strong-global-pollution-pricing/
31 May 2019,carbon-pricing,"national-energy-and-climate-plans-necps,eu-carbon-market,global-markets,shipping","international-maritime-organisation-imo,national-energy-and-climate-plans,carbon-taxes",Carbon Market Watch Newsletter – May 2019,,https://carbonmarketwatch.org/2019/05/31/carbon-market-watch-newsletter-may-2019/
Kaisa Amaral,carbon-pricing,2050-climate-strategies,"aviation,carbon-pricing,carbon-taxes",Did the elections mark a turning point for taxing carbon?,2019-05-31 00:00:00,https://carbonmarketwatch.org/2019/05/31/did-the-elections-mark-a-turning-point-for-taxing-carbon/
18 Jun 2019,climate-governance,national-energy-and-climate-plans-necps,,"European Commission finds a lack of details, concrete measures in draft national energy and climate plans",,https://carbonmarketwatch.org/2019/06/18/european-commission-finds-a-lack-of-details-concrete-measures-in-draft-national-energy-and-climate-plans/
Sam Van den plas,international-transport,shipping,"emissions-from-shipping,international-maritime-organisation-imo","Shipping must stay the course and agree on effective climate measures, including a pollution price",2019-05-30 00:00:00,https://carbonmarketwatch.org/2019/05/30/shipping-must-stay-the-course-and-agree-on-effective-climate-measures-including-a-pollution-price/
Sabine Frank,international-transport,aviation,"international-civil-aviation-organisation,aarhus-convention,transparency",EU countries under scrutiny for their role in opaque aviation agency,2019-06-27 00:00:00,https://carbonmarketwatch.org/2019/06/27/eu-countries-under-scrutiny-for-their-role-in-opaque-aviation-agency/
27 Jun 2019,carbon-pricing,"national-energy-and-climate-plans-necps,2050-climate-strategies,global-markets,aviation","international-climate-negotiations-unfccc,international-civil-aviation-organisation,aarhus-convention",Carbon Market Watch Newsletter – June 2019,,https://carbonmarketwatch.org/2019/06/27/carbon-market-watch-newsletter-june-2019/
Agnese Ruggiero,climate-governance,national-energy-and-climate-plans-necps,national-energy-and-climate-plans,Do Europe’s powerful and clean live up to the expectations to lead on climate?,2019-07-04 00:00:00,https://carbonmarketwatch.org/2019/07/04/do-europes-powerful-and-clean-live-up-to-the-expectations-to-lead-on-climate/
Gilles Dufrasne,international-transport,aviation,,"Better pricing of aviation emissions in the EU is needed, and the Netherlands is championing it",2019-02-19 00:00:00,https://carbonmarketwatch.org/2019/02/19/better-pricing-of-aviation-emissions-in-the-eu-is-needed-and-the-netherlands-is-championing-it/
Kaisa Amaral,carbon-pricing,"decarbonising-european-industry,2050-climate-strategies,eu-carbon-market","eu-emissions-trading-system,eu-industry,eu-long-term-climate-strategy","European businesses need clear direction, not populism",2019-06-25 00:00:00,https://carbonmarketwatch.org/2019/06/25/european-businesses-need-a-clear-climate-compass-not-populism/
Gilles Dufrasne | Kaisa Amaral,carbon-pricing,"human-rights,global-markets","international-climate-negotiations-unfccc,carbon-markets,article-6",UN climate negotiators to discuss future carbon markets as calls to end offsetting grow louder,2019-06-17 00:00:00,https://carbonmarketwatch.org/2019/06/17/un-climate-negotiators-to-discuss-future-carbon-markets-as-calls-to-end-offsetting-grow-louder/
Gilles Dufrasne,international-transport,"global-markets,aviation","clean-development-mechanism,offsetting,corsia","Existing UN carbon credits will do nothing to offset aviation industry pollution, new Nature study finds",2019-02-26 00:00:00,https://carbonmarketwatch.org/2019/02/26/existing-un-carbon-credits-will-do-nothing-to-offset-aviation-industry-pollution-new-nature-study-finds/
6 Mar 2019,international-transport,aviation,,ICAO agrees on offset criteria for aviation carbon market,,https://carbonmarketwatch.org/2019/03/06/icao-agrees-on-offset-criteria-for-aviation-carbon-market/
Sam Van den plas,carbon-pricing,decarbonising-european-industry,,Industry should stop clinging on to pollution freebies and start focusing on climate solutions,2019-03-28 00:00:00,https://carbonmarketwatch.org/2019/03/28/industry-should-stop-clinging-on-to-pollution-freebies-and-start-focusing-on-climate-solutions/
Ludovica Serafini,international-transport,aviation,,"EU, Tax Me If You Can!",2019-03-28 00:00:00,https://carbonmarketwatch.org/2019/03/28/eu-tax-me-if-you-can/
Agnese Ruggiero,climate-governance,national-energy-and-climate-plans-necps,,EU countries need to step up efforts to align three key areas of climate action – report,2019-04-09 00:00:00,https://carbonmarketwatch.org/2019/04/09/eu-countries-need-to-step-up-efforts-to-align-three-key-areas-of-climate-action-report/
Gilles Dufrasne,carbon-pricing,global-markets,,"Canada’s industry should support carbon pricing, not fight it",2019-04-25 00:00:00,https://carbonmarketwatch.org/2019/04/25/canadas-industry-should-support-carbon-pricing-not-fight-it/
8 May 2019,climate-governance,national-energy-and-climate-plans-necps,,Europe’s future will need better climate plans – report,,https://carbonmarketwatch.org/2019/05/08/europes-future-will-need-better-climate-plans-report/
Agnese Ruggiero,carbon-pricing,decarbonising-european-industry,,Why we need more than just the EU carbon market to tackle industrial pollution,2019-05-08 00:00:00,https://carbonmarketwatch.org/2019/05/08/why-we-need-more-than-just-the-eu-carbon-market-to-tackle-industrial-pollution/
Gilles Dufrasne,carbon-pricing,global-markets,,Shell’s salad years are over,2019-04-25 00:00:00,https://carbonmarketwatch.org/2019/04/25/shells-salad-years-are-over/
Gilles Dufrasne,international-transport,"eu-carbon-market,global-markets,aviation",,EU Member States resist aviation industry pressure to weaken climate regulation,2018-12-01 00:00:00,https://carbonmarketwatch.org/2018/12/01/eu-member-states-resist-industry-pressures-to-protect-climate-regulation/
Ludovica Serafini,carbon-pricing,"human-rights,2050-climate-strategies",,COP24: Real facts or just dreams,2018-12-05 00:00:00,https://carbonmarketwatch.org/2018/12/05/cop24-real-facts-or-just-dreams/
ECO - COP24,carbon-pricing,global-markets,,OMG(E)! Article 6 is Going Above and Beyond Offsetting! – ECO,2018-12-12 00:00:00,https://carbonmarketwatch.org/2018/12/12/omge-article-6-is-going-above-and-beyond-offsetting-eco/
Gilles Dufrasne,carbon-pricing,2050-climate-strategies,,Davos: Global leaders must fight inequality through carbon pricing,2019-01-21 00:00:00,https://carbonmarketwatch.org/2019/01/21/davos-global-leaders-must-fight-inequality-through-carbon-pricing/
Gilles Dufrasne,carbon-pricing,global-markets,,What does the current standstill in carbon market talks mean for the future?,2019-01-25 00:00:00,https://carbonmarketwatch.org/2019/01/25/what-does-the-current-standstill-in-international-carbon-market-talks-mean-for-the-future/
15 Dec 2018,climate-governance,"human-rights,sustainable-development,global-markets",,COP24 overshadowed by market failure as countries fail to agree on basic accounting principles and the future of the CDM,,https://carbonmarketwatch.org/2018/12/15/cop24-overshadowed-by-market-failure-as-countries-fail-to-agree-on-basic-accounting-principles-and-the-future-of-the-cdm/
31 Jan 2019,,2050-climate-strategies,,Change of leadership at Carbon Market Watch – January 2019,,https://carbonmarketwatch.org/2019/01/31/change-of-leadership-at-carbon-market-watch-january-2019/
31 Jan 2019,climate-governance,national-energy-and-climate-plans-necps,national-energy-and-climate-plans,Launch of LIFE project ‘PlanUp’ points new spotlight on EU National Energy & Climate Plans,,https://carbonmarketwatch.org/2019/01/31/launch-of-life-project-planup-points-new-spotlight-on-eu-national-energy-climate-plans/
Gilles Dufrasne,climate-governance,eu-carbon-market,,Germany: Coal phase-out must go hand-in-hand with emission permit cancellation to keep CO2 prices up,2019-02-05 00:00:00,https://carbonmarketwatch.org/2019/02/05/germany-emission-permit-cancellation-and-coal-phase-out-must-go-hand-in-hand/
Gilles Dufrasne,climate-governance,eu-carbon-market,,"Deutschland: Kohleausstieg muss mit Annullierung von Emissionslizenzen einher gehen, um den CO2 Preis zu stützen",2019-02-18 00:00:00,https://carbonmarketwatch.org/2019/02/18/deutschland-annullierung-von-emissionslizenzen-und-kohleausstieg-mussen-hand-in-hand-gehen/
CAN International,carbon-pricing,"sustainable-development,global-markets","clean-development-mechanism,paris-agreement,sustainable-development-mechanism",The New Article 6: We Know What We Need (ECO: UNFCCC SB48),2018-09-06 00:00:00,https://carbonmarketwatch.org/2018/09/06/the-new-article-6-we-know-what-we-need-eco-unfccc-sb48/
Gilles Dufrasne,carbon-pricing,"human-rights,sustainable-development,global-markets",clean-development-mechanism,UN market negotiations: Will we learn from the past?,2018-09-14 00:00:00,https://carbonmarketwatch.org/2018/09/14/un-market-negotiations-will-we-learn-from-the-past/
Femke de Jong,carbon-pricing,"eu-carbon-market,global-markets",,GCAS: Effective carbon pricing can no longer be hampered by bad policy,2018-09-26 00:00:00,https://carbonmarketwatch.org/2018/09/26/gcas-effective-carbon-pricing-can-no-longer-be-hampered-by-bad-policy/
Gilles Dufrasne,international-transport,"2050-climate-strategies,aviation,shipping","ipcc,carbon-budget","New IPCC report shows 1.5C° is still possible, but more needed from aviation and shipping",2018-10-08 00:00:00,https://carbonmarketwatch.org/2018/10/08/new-ipcc-report-shows-1-5c-is-still-possible-but-more-needed-from-aviation-and-shipping/
Femke de Jong,carbon-pricing,2050-climate-strategies,eu-industry,Waste gases from steel worse for the climate than coal,2018-10-09 00:00:00,https://carbonmarketwatch.org/2018/10/09/waste-gases-from-steel-worse-for-the-climate-than-coal/
Agnese Ruggiero,climate-governance,"national-energy-and-climate-plans-necps,2050-climate-strategies",,National Energy and Climate Plans: a strong tool to implement the Paris Agreement but only if participative and ambitious,2018-10-25 00:00:00,https://carbonmarketwatch.org/2018/10/25/national-energy-and-climate-plans-a-strong-tool-to-implement-the-paris-agreement-but-only-if-participative-and-ambitious/
15 Nov 2018,carbon-pricing,global-markets,,END THE CDM,,https://carbonmarketwatch.org/2018/11/15/end-the-cdm/
15 Nov 2018,carbon-pricing,global-markets,,TAKE ACTION to end the CDM!,,https://carbonmarketwatch.org/2018/11/15/take-action-to-end-the-cdm/
28 Nov 2018,climate-governance,"2050-climate-strategies,eu-carbon-market",,EU’s Long Term Strategy offers hope for net-zero carbon future,,https://carbonmarketwatch.org/2018/11/28/eus-long-term-strategy-offers-hope-for-net-zero-carbon-future/
Agnese Ruggiero - Policy Officer,climate-governance,2050-climate-strategies,horizon-europe,Making Horizon Europe a tool to truly achieve the Paris Agreement goals – OpEd,2018-11-30 00:00:00,https://carbonmarketwatch.org/2018/11/30/making-horizon-europe-a-tool-to-truly-achieve-the-paris-agreement-goals-oped/
Guest: Soumya Dutta,fair-climate-action,"human-rights,sustainable-development,global-markets","clean-development-mechanism,india","Sham consultations, ruthless exploitation: CDM project experience in India",2018-06-12 00:00:00,https://carbonmarketwatch.org/2018/06/12/sham-consultations-ruthless-exploitation-cdm-project-experience-in-india/
13 Jun 2018,international-transport,aviation,,CORSIA CHALLENGE – Quiz,,https://carbonmarketwatch.org/2018/06/13/29997/
Gilles Dufrasne,carbon-pricing,global-markets,"carbon-pricing,offsetting",An elephant in the room,2018-06-19 00:00:00,https://carbonmarketwatch.org/2018/06/19/an-elephant-in-the-room/
Miriam Vicente,,"human-rights,sustainable-development,global-markets,aviation",,WatchThis! – New scheme could breathe life back into the CDM (June 2018),2018-06-21 00:00:00,https://carbonmarketwatch.org/2018/06/21/watchthis-june-2018-edition/
28 Jun 2018,international-transport,aviation,"international-civil-aviation-organisation,offsetting",UN aviation body delays decision on key rules for airline offset scheme,,https://carbonmarketwatch.org/2018/06/28/un-aviation-body-delays-decision-on-key-rules-for-airline-offset-scheme/
Kelsey Perlman,international-transport,aviation,,Deciphering ICAO negotiations for a climate audience,2018-07-12 00:00:00,https://carbonmarketwatch.org/2018/07/12/deciphering-icao-negotiations-for-a-climate-audience/
2 Jul 2018,,2050-climate-strategies,,Become Executive Director of Carbon Market Watch,,https://carbonmarketwatch.org/2018/07/02/become-executive-director-of-carbon-market-watch/
Gilles Dufrasne,fair-climate-action,"human-rights,sustainable-development,climate-finance",,Green finance must be people-friendly,2018-07-24 00:00:00,https://carbonmarketwatch.org/2018/07/24/green-finance-must-be-people-friendly/
Femke de Jong,carbon-pricing,eu-carbon-market,,Netherlands fits its new price floor,2018-08-21 00:00:00,https://carbonmarketwatch.org/2018/08/21/netherlands-fits-its-new-price-floor/
Gilles Dufrasne,carbon-pricing,"sustainable-development,global-markets",clean-development-mechanism,Withdrawn UN advert shows why carbon offset scheme should be scrapped,2018-08-31 00:00:00,https://carbonmarketwatch.org/2018/08/31/withdrawn-un-advert-shows-why-carbon-offset-scheme-should-be-scrapped/
Femke de Jong,carbon-pricing,global-markets,carbon-pricing,Head of IMF urges countries to adopt higher carbon prices,2018-04-26 00:00:00,https://carbonmarketwatch.org/2018/04/26/head-of-imf-urges-countries-to-adopt-higher-carbon-prices/
"Gilles Dufrasne, Kelsey Perlman",carbon-pricing,global-markets,carbon-markets,UN carbon markets – what to expect from Bonn?,2018-04-26 00:00:00,https://carbonmarketwatch.org/2018/04/26/un-carbon-markets-what-to-expect-from-bonn/
27 Apr 2018,,"effort-sharing-regulation,global-markets,shipping","united-nations-framework-convention-for-climate-change,carbon-markets,emissions-from-shipping",Carbon Market Watch Newsletter – April 2018,,https://carbonmarketwatch.org/2018/04/27/carbon-market-watch-newsletter-april-2018/
Femke de Jong,carbon-pricing,eu-carbon-market,"eu-emissions-trading-system,eu-budget",Polluters should pay into the EU budget – but how?,2018-05-07 00:00:00,https://carbonmarketwatch.org/2018/05/07/polluters-should-pay-into-the-eu-budget-but-how/
"Gilles Dufrasne, Eva Filzmoser",fair-climate-action,"sustainable-development,global-markets,climate-finance","international-climate-negotiations-unfccc,article-6",The road ahead for UN carbon markets,2018-05-16 00:00:00,https://carbonmarketwatch.org/2018/05/16/the-road-ahead-for-un-carbon-markets/
